Aussie Tree Grinders,12 Lempriere Cres,Kambah,ACT,2902,0411 145 312,,,-35.392202, 149.037585
Brian's Home &amp; Garden Care,PO Box 3201,Manuka,ACT,2603,0409 126 804,,info@brianshomeandgardencare.com.au,-35.32520991, 149.13627461
Canopy,19 Lyell,Fyshwick,ACT,2609,(02) 6161 1800,,,-35.32804, 149.174085
City &amp; Country Tree Surgery,,,,,(02) 6292 9305,,ccts002@bigpond.com,-35.4284723, 149.0908637
Discount Tree Services,Unit 714 C/- Capital Self Storage, Dundas Court East,Phillip,ACT,2606,(02) 6282 1244,,,-35.354083, 149.087802
Dowling Tree Services,,,,,0418 622 321,,dowlingtreeservices@bigpond.com,-35.3947897, 149.0708601
Ecotrees The Tree Specialists,,,,,0427 887 692,,info@ecotrees.net.au,-35.2514048, 149.1247975
Enviro Trees Arboricultural Solutions,,,,,0488 009 293,,envirotrees@grapevine.com.au,-35.3393888, 149.0526718
Flourish Tree &amp; Garden Service,,,,,0416 912 721,,,-35.3725416, 149.0862452
Gold Leaf Tree Services,,,,,(02) 6108 3632,,enquiry@goldleaftreeservices.com.au,-35.2446289, 149.1459002
Jim's Tree and Stump Removal,,,,,13 1546,,kts2627@outlook.com,-35.3439693, 149.0833158
Jim's Tree &amp; Stump Removal,,,,,13 1546,,,
J &amp; L Tree Services &amp; Tower Hire,117 Florey Dr,MacGregor,ACT,2615,(02) 6255 2286,,,-35.208229, 149.026249
Knock Out Trees,,,,,0403 573 363,,,-35.28078181, 149.13139599
M &amp; J Tree Surgeons,,,,,0408 697 629,,johnlanzon@bigpond.com,-35.4158638, 149.0897893
Specialised Arbor Pty Ltd,,,,,0402 487 337,,info@specialisedarbor.com.au,-35.3620925, 149.0565958
Synergetic Services Australia,,,,,0456 711 247,,admin@synergeticservices.com.au,-35.28078181, 149.13139599
Timbertops Tree Works,,,,,0414 894 648,,mark@timbertops.com.au,-35.4504201, 149.0839286
O'Briens Tree Services,,,,,0402 555 828,,quote@obrienstrees.com.au,-35.3439693, 149.0833158
Priority Tree Care,,,,,(02) 6258 0071,,office@prioritytrees.com,-35.2800063, 149.0741379
Treetops Tree Services,,,,,0407 573 008,,treetopsact@bigpond.com.au,-35.2800063, 149.0741379
Waratah Tree Services,,,,,1300 135 835,,office@waratahtreeservices.com.au,-33.7968193, 151.025776
Woodpecker Tree Services,50 Serpentine St,Duffy,ACT,2611,0400 112 291,,,-35.331062, 149.035862
z O'Hurleys Tree Services,,,,,0431 404 183,,,-35.3439693, 149.0833158
A1 Best Tree Service,,,,,0432 218 922,,a1besttreeservice@hotmail.com,-33.87276349, 151.2053446
AAA 1 Shane &amp; Catherine~u2019s Tree Service,,,,,0409 128 859,,catherine.shane@bigpond.com,
A AALTO Treelopping,,,,,(02) 9417 0441,,,-33.7840081, 151.177542
