Andrews Lawn Mowing &amp; Ground Maintenance,,,,,0423 679 468,,almgm@optusnet.com.au,-35.28078181, 149.13139599
Budget Garden Care ACT,Tingha Pl,Fisher,ACT,2611,0422 075 694,,,-35.364441, 149.059222
Cultured Gardens,67 Negus Cres,Watson,ACT,2602,0438 477 462,,,-35.232954, 149.163897
Discount Tree Services (ACT) Pty Ltd,18 Mclaren Crst,Pearce,ACT,2607,(02) 6282 1244,,,-35.36279, 149.07744
Dundas M K,76 Jennings St,Curtin,ACT,2605,(02) 6282 4624,,,-35.325132, 149.074357
E &amp; H Gardening,28 Cazaly Cl,Holt,ACT,2615,0451 924 807,,,-35.229817, 149.013122
Ellisons Property Services,,,,,0400 503 051,,adamellisonmusic@gmail.com,-35.28078181, 149.13139599
Fairies In The Garden Parties,126 Boddington Cres,Kambah,ACT,2902,0423 439 889,,,-35.384399, 149.050537
Fleur de Lis,,,,,0423 562 556,,,-35.48270305, 149.10352252
Gungahlin Lawnmowing and Gardening,,,,,0419 296 251,,,-35.20125264, 149.11201459
Hardco,,,,,0408 696 960,,,-35.352046, 149.059705
Hedges and Edges &amp; All Garden Maintenance,,,,,0414 398 530,,jdeluca001@gmail.com,-35.4504201, 149.0839286
Infinity Mowing &amp; Maintenance,,,,,0434 356 806,,,
Jake's Complete Garden Care,,,,,0497 103 304,,jakescompletegardencare@yahoo.com,
Jem's Garden Maintenance,,,,,0422 763 391,,,-35.2092521, 149.0495599
JJ Horticultural,277 Anthony Rolfe Ave,Gungahlin,ACT,2912,0410 378 014,,jack@jjhorticultural.com.au,-35.185286, 149.148553
KIRCHNER, DANIEL JAMES,5 Pringle St,Charnwood,ACT,2615,0432 446 293,,,-35.199813, 149.028632
Landscape Direct,PO Box 467,Mawson,ACT,2607,(02) 6287 4266,,david@landscapedirect.com.au,-35.3642041, 149.0953031
Larch Grove Garden Maintenance,,,,,0412 206 926,,,-35.3391813, 149.0759964
Lawns Plus Property Maintenance,,,,,0419 004 757,,robert.stewart@outlook.com.au,-35.2027358, 149.1328633
Leaf It To Us,93 Outtrim Ave,Calwell,ACT,2905,0422 242 599,,james.j.jones1@hotmail.com,-35.435286, 149.106676
Mitan Lawns &amp; Gardens,,,,,0411 702 840,,mjholohan@optusnet.com.au,-35.2092521, 149.0495599
Mobile Mulching Canberra,,,,,0402 678 287,,,-35.33285459, 149.04686787
Mow Me Lawns Australia,2 Margany Cl,Ngunnawal,ACT,2913,0427 336 337,,,-35.182663, 149.125782
NuScapes,,,,,0414 884 825,,,-35.2183026, 149.0321512
Optimum Gardening Services,,,,,0408 726 336,,optimumgardening@gmail.com,
Parrs Horticulture,14 Warland Pl,Charnwood,ACT,2615,0488 727 739,,parreys.hort.works@gmail.com,-35.201591, 149.034947
Platinum Landscaping Group,,,,,1300 730 673,,sales@platinumlandscapinggroup.com,-35.3642041, 149.0953031
Rumbles Gardens,7 Magennis Pl,Latham,ACT,2615,0438 436 228,,Rumsmailbox@yahoo.com.au,-35.208466, 149.031993
SAMARATUNGA, ROHAN CHANAKA,5 Florence St,Oaks Estate,ACT,2620,0449 986 854,,,-35.341121, 149.225381
serenity now gardens,,,,,0403 964 871,,mtvandiemen@gmail.com,-35.4041973, 149.0780091
Shepherds Garden Maintenance,,,,,0478 693 307,,,-35.1998393, 149.0442068
Stamp Garden Transformations,108 Lawrence Wackett Crst,Theodore,ACT,2905,0488 983 022,,,-35.44969, 149.122586
Territory Landscaping &amp; Property Maintenance,,,,,0416 525 929,,territory_landscaping@hotmail.com,
The Garden Fairys,,,,,0426 845 536,,millergardenfairies@gmail.com,-35.215268, 149.1001522
The Sustainable Gardener,,,,,0400 934 386,,warren@thesustainablegardener.com.au,-35.1732139, 149.1086383
Whip It Lawns &amp; Gardens Pty Ltd,,,,,0414 755 253,,enquiries@whipitlawnsandgardens.com.au,-35.2222821, 149.0187598
